l_title;r_title;label
Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food;Taste Of The Wild Grain Free Southwest Canyon with Wild Boar Dry Dog Food;FALSE
Natural Balance Limited Ingredient Diets High Protein Beef Dry Dog Food;Natural Balance LID Fish Small Breed Dry Dog Food ;FALSE
Taste Of The Wild Sierra Mountain Dry Dog Food;Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food;FALSE
Natural Balance LID Limited Ingredient Diets Adult Maintenance Sweet Potato and Fish Small Breed Bites Dry Dog Food;Blue Buffalo Life Protection Small Breed Adult Fish and Brown Rice Recipe Dry Dog Food;FALSE
Blue Buffalo Wilderness Grain Free Chicken Recipe Dry Dog Food;Blue Buffalo Life Protection Small Breed Adult Fish and Brown Rice Recipe Dry Dog Food;FALSE
Blue Buffalo Basics Grain Free Adult Duck and Potato Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Blue Buffalo Freedom Grain Free Chicken Recipe Puppy Dry Dog Food;Blue Buffalo Life Protection Formula Adult Toy Breed Chicken and Brown Rice Dry Dog Food;FALSE
Blue Buffalo Freedom Large Breed Adult Beef Recipe Dry Dog Food;Blue Buffalo Life Protection Puppy Chicken and Brown Rice Recipe Dry Dog Food;FALSE
Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Blue Buffalo Life Protection Adult Fish and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Blue Buffalo Life Protection Formula Adult Toy Breed Chicken and Brown Rice Dry Dog Food;Blue Buffalo Wilderness Grain Free Chicken Recipe Dry Dog Food;FALSE
Taste of the Wild Pacific Stream Puppy;Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;FALSE
Taste of the Wild Pacific Stream Puppy;Taste of the Wild Sierra Mountain Roast Lamb 13Kg;FALSE
Taste of the Wild Pacific Stream Puppy;Taste of the Wild Sierra Mountain Canine Formula with Roasted Lamb;FALSE
Taste of the Wild Pacific Stream Puppy;TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 2KG;FALSE
Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;Taste of the Wild Sierra Mountain Adult;FALSE
Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;Taste of the Wild Sierra Mountain Canine Formula with Roasted Lamb;FALSE
Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;Taste of the Wild Sierra Mountain Adult;FALSE
Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;Taste of the Wild Sierra Mountain Roast Lamb 13Kg;FALSE
Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 13KG;FALSE
Taste of the Wild Grain Free Canine Sierra Mountain 13kg Dry Dog Food;Taste of the Wild Sierra Mountain Adult;FALSE
Taste of the Wild Grain Free Canine Sierra Mountain 13kg Dry Dog Food;TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 6KG;FALSE
TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 6KG;Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;FALSE
TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 6KG;Taste of the Wild Sierra Mountain Adult;FALSE
TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 6KG;Taste of the Wild Sierra Mountain Canine Formula with Roasted Lamb;FALSE
TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 6KG;Taste of the Wild Sierra Mountain Roast Lamb 13Kg;FALSE
Taste of the Wild Wetlands Canine Formula with Roasted Fowl;TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 6KG;FALSE
Taste of the Wild Grain Free Canine Wetlands 13kg Dry Dog Food;Taste of the Wild Wetlands Canine Formula with Roasted Fowl;FALSE
Taste of the Wild Grain Free Canine Wetlands 13kg Dry Dog Food;TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 6KG;FALSE
Taste of the Wild Grain Free Canine Wetlands 13kg Dry Dog Food;Taste of the Wild Wetlands Canine Adult;FALSE
Taste of the Wild Wetlands Canine Formula with Roasted Fowl;TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 6KG;FALSE
Taste of the Wild Wetlands Canine Formula with Roasted Fowl;Taste of the Wild Wetlands Wild Fowl 13Kg;FALSE
Taste of the Wild Wetlands Canine Formula with Roasted Fowl;TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 13KG;FALSE
Taste of the Wild Wetlands Canine Formula with Roasted Fowl;Taste of the Wild Wetlands Canine Adult;FALSE
Taste of the Wild Wetlands Wild Fowl 13Kg;TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 2KG;FALSE
Taste of the Wild Wetlands Wild Fowl 13Kg;TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 6KG;FALSE
Taste of the Wild Wetlands Wild Fowl 13Kg;Taste of the Wild Grain Free Canine Wetlands 2kg Dry Dog Food;FALSE
Royal Canin Mini Light Weight Care;Royal Canin Mini Adult;FALSE
Royal Canin Mini Light Weight Care;Royal Canin Mini Adult 4kg;FALSE
Royal Canin Mini Light Weight Care;#N A;FALSE
Royal Canin Mini Adult;Royal Canin Mini Adult Dog 8kg Dry Dog Food;FALSE
Royal Canin Mini Adult;Royal Canin Mini Adult;FALSE
Royal Canin Mini Adult;Royal Canin Dog Adult Mini +10 Months (1-10kg) 8kg;FALSE
Royal Canin Mini Adult;ROYAL CANIN MINI ADULT DOG FOOD 8KG;FALSE
Royal Canin Mini Adult Dog 8kg Dry Dog Food;Royal Canin Mini Adult 4kg;FALSE
Royal Canin Mini Adult Dog 8kg Dry Dog Food;ROYAL CANIN MINI LIGHT WEIGHT CARE 2KG;FALSE
Taste of the Wild Grain Free Canine Southwest Canyon 2kg Dry Dog Food;TASTE OF THE WILD SOUTHWEST CANYON GRAIN FREE CANINE 13KG;FALSE
Taste of the Wild Grain Free Canine Southwest Canyon 2kg Dry Dog Food;Taste of the Wild Southwest Canyon 13Kg;FALSE
Taste of the Wild Grain Free Canine Southwest Canyon 2kg Dry Dog Food;Taste of the Wild Southwest Canyon Adult;FALSE
Taste of the Wild Southwest Canyon Adult;Taste of the Wild Grain Free Canine Southwest Canyon 2kg Dry Dog Food;FALSE
Taste of the Wild Southwest Canyon Adult;TASTE OF THE WILD SOUTHWEST CANYON GRAIN FREE CANINE 2KG;FALSE
Taste of the Wild Southwest Canyon Adult;Taste of the Wild Southwest Canyon Canine Formula with Wild Boar;FALSE
TASTE OF THE WILD SOUTHWEST CANYON GRAIN FREE CANINE 6KG;Taste of the Wild Southwest Canyon 13Kg;FALSE
TASTE OF THE WILD SOUTHWEST CANYON GRAIN FREE CANINE 6KG;Taste of the Wild Southwest Canyon Adult;FALSE
TASTE OF THE WILD SOUTHWEST CANYON GRAIN FREE CANINE 6KG;Taste of the Wild Grain Free Canine Southwest Canyon 13kg Dry Dog Food;FALSE
TASTE OF THE WILD SOUTHWEST CANYON GRAIN FREE CANINE 6KG;Taste of the Wild Southwest Canyon Canine Formula with Wild Boar;FALSE
ROYAL CANIN BEAGLE DOG FOOD 12KG;Royal Canin Pug Adult;FALSE
ROYAL CANIN BEAGLE DOG FOOD 12KG;Royal Canin Pug Adult;FALSE
Royal Canin Pug Adult;ROYAL CANIN BEAGLE DOG FOOD 12KG;FALSE
Royal Canin Pug Adult;Royal Canin Beagle Adult 12kg;FALSE
Royal Canin Pug Adult;Royal Canin Beagle Adult;FALSE
Royal Canin Beagle Adult 12kg;Royal Canin Pug Adult Dog 3kg Dry Dog Food;FALSE
Royal Canin Beagle Adult 12kg;ROYAL CANIN DOG PUG DOG FOOD 3KG;FALSE
Royal Canin Beagle Adult 12kg;Royal Canin Pug Adult;FALSE
Royal Canin Beagle Adult 12kg;Royal Canin Pug Adult;FALSE
Royal Canin Pug Adult Dog 3kg Dry Dog Food;Royal Canin Beagle Adult;FALSE
Royal Canin Pug Adult Dog 3kg Dry Dog Food;Royal Canin Beagle Adult;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult 12kg;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult 12Kg;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult Dog 12kg Dry Dog Food;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult Dog 3kg Dry Dog Food;FALSE
Royal Canin Labrador Retriever Adult;ROYAL CANIN LABRADOR DOG FOOD 3KG;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult 12kg;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult 12Kg;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult 3kg;FALSE
Royal Canin Maxi Light Weight Care;Royal Canin Maxi Light Weight Care;TRUE
Royal Canin Yorkshire Terrier Adult;Royal Canin Yorkshire Terrier Adult;TRUE
Royal Canin Yorkshire Terrier Adult 15kg;Royal Canin Yorkshire Terrier Adult;TRUE
Royal Canin Yorkshire Terrier Adult 15kg;Royal Canin Yorkshire Terrier Adult;TRUE
Royal Canin Yorkshire Terrier Adult 75kg;Royal Canin Yorkshire Terrier Adult;TRUE
Royal Canin Maxi Adult 4kg;Royal Canin Maxi Adult;TRUE
Royal Canin Maxi Adult;ROYAL CANIN MAXI ADULT DOG FOOD 4KG;TRUE
Royal Canin Mini Adult;ROYAL CANIN MINI ADULT DOG FOOD 8KG;TRUE
Royal Canin Mini Adult;ROYAL CANIN MINI ADULT DOG FOOD 8KG;TRUE
Royal Canin Medium Adult 7+;Royal Canin Medium Adult Dog 7+ 15kg Dry Dog Food;TRUE
Royal Canin Labrador Retriever Junior;Royal Canin Labrador Retriever Junior Dog 12kg Dry Dog Food;TRUE
Taste of the Wild Southwest Canyon Canine Formula with Wild Boar;TASTE OF THE WILD SOUTHWEST CANYON GRAIN FREE CANINE 13KG;TRUE
Taste of the Wild Sierra Mountain Roast Lamb 13Kg;Taste of the Wild Sierra Mountain Canine Formula with Roasted Lamb;TRUE
Hills Science Plan Adult 1-6 Advanced Fitness Medium with Tuna & Rice;Hills Science Plan Canine Advanced Fitness Adult Tuna & Rice 12kg;TRUE
Hills Science Plan Adult 1-6 Advanced Fitness Medium with Tuna & Rice;Hills Science Plan Canine Advanced Fitness Adult Tuna & Rice 12kg;TRUE
Blue Buffalo Life Protection Puppy Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo CHICKEN PUPPY 6LB;TRUE
Blue Buffalo Lg Breed Senior Dry Dog Food 30lb;Blue Buffalo Life Protection Large Breed Senior Chicken and Brown Rice Recipe Dry Dog Food;TRUE
Blue Buffalo Life Protect Sm Breed Dog Food 6lb;Blue Buffalo Life Protection Small Breed Adult Chicken And Brown Rice Recipe Dry Dog Food;TRUE
Natural Balance LID Limited Ingredient Diets Sweet Potato & Fish Small Breed Bites Dog Food 12 lbs;Natural Balance LID Fish Small Breed Dry Dog Food ;TRUE
